,name,context,discount,portion
59,Liiv M Ⅱ 카드,매월 Liiv M 통신비를 절약하는 방법!,Liiv M 통신요금 자동이체,1.2/1.7만원
60,T-Premium KB국민카드,"SKT자동납부 요금, 프리미엄 할인!",기본할인,0.5~1만원
61,SK 7mobile카드,통신요금을 절약하는 방법!,통신료 자동이체,1.2~1.7만원
62,CLiP카드,KT 모든 통신요금을 KB국민카드로 알뜰하게!,KT 통신요금 자동이체,1.2~1.7만원
63,U＋ 알뜰모바일카드,통신요금을 절약하는 방법!,통신료 자동납부,1.2~1.7만원
64,LGU＋ 심플라이트카드,KB국민카드로 통신료를 아끼자,통신료 자동납부,1.2~1.7만원
65,kt M mobile카드,통신요금을 절약하는 방법!,통신료 자동납부,1.2~1.7만원
66,Easy study 티타늄카드,"꿈, 배움, 키움 그리고 이룸 Easy study로 더 쉬움~","학원, 취미/자기계발",3%
67,교보문고 KB국민카드,"도서 구입 할인, 적립 및 무이자할부 혜택의 힘~!",교보문고,5~10%
68,에듀카드,교육비를 절약하는 현명한 선택!,교육관련 업종,5~7%
69,KB국민 윙크카드,매월 학습비를 절약하는 방법!,윙크 학습비 자동이체,1 ~ 1.5만원
70,가온 워킹업카드,발걸음 가볍게 워킹 UP! 적립까지 시원하게 워킹 UP!,국내 전 가맹점,0.7%
71,골든라이프올림카드,더욱 든든해진 혜택으로 당신의 골든라이프를 응원합니다!,병원or마트,5%
72,반려愛카드(강아지),반려동물을 사랑하는 마음. KB국민 반려애카드가 함께합니다!,반려동물,10%
73,KB국민 펫코노미 카드,반려동물을 사랑하는 현명한 방법!,반려동물 업종,10~30%
74,가온 워킹업카드,발걸음 가볍게 워킹 UP! 적립까지 시원하게 워킹 UP!,국내 전 가맹점,0.7%
75,해피포인트 해피리워드 카드,"더 특별해진 ""해피"" 한 ""리워드""",해피포인트 가맹점,최대 35%
76,요기패스 신용카드,구독료 부담은 No! 요기패스 혜택은 Yes!,요기패스 멤버십,"9,900원"
77,굿데이올림카드,매일 매일 기분 좋은 할인 혜택으로 더 풍요로운 생활!,주유,60원/L
78,해피포인트 KB국민카드,해피포인트 KB국민카드로 생활의 즐거움을 느끼세요!,제휴가맹점,10~30%
79,톡톡 구독카드,카카오 구독ON 서비스를 이용할 땐!,카카오 구독ON,5천/1만원
80,SK매직 올림카드,"렌탈 요금, 스마트하게 할인 받고 영화·놀이공원 할인까지!",SK매직 렌탈료,1.1~2만원
81,교원 웰스 KB국민카드,웰스로 건강한 습관 ! KB국민카드로 알뜰한 습관 !,교원웰스 렌탈료,1.1~2만원
82,청호나이스Ⅱ카드,렌탈 요금 매월 할인 받는 방법!,렌탈료 자동납부,1.2 /1.7만원
83,청호나이스 KB국민카드,"렌탈 요금, 스마트하게 할인 받고 영화·놀이공원 할인까지!",청호나이스렌탈료,1.1~2만원
84,코웨이Ⅱ 카드,코웨이 더블 혜택! 렌탈료 할인과 적립을 동시에!,코웨이 렌탈료,1.5~2만원
85,넥센타이어 KB국민카드,"부담 없이 OK, 넥센타이어 렌탈 서비스!",넥센타이어 렌탈료,1.1~2만원
86,플렉스페이카드,렌탈금액을 절약하는 방법!,렌탈료 자동납부,1.2~1.7만원
87,예다함 카드,품격있는 상조서비스를 KB로 만납니다.,예다함 상조부금,1.2~1.7만원
88,LG전자 KB국민카드,LG전자 베스트샵 가전제품 / 렌탈 요금 할인!,라이트할부,1~1.5만원
89,웅진씽크빅 카드,웅진씽크빅 요금 매월 할인 받는 방법!,웅진씽크빅 자동납부,1.2 /1.7만원
90,MYCHEF 카드,매월 밀키트 정기구독료 절약 방법!,MYCHEF 「세이브 클럽」,
91,피터팬의좋은방구하기 카드,매월 무보증 임대료를 절약하는 방법!,무보증 임대료 자동이체,1.2/1.7만원
92,TLC 카드,TLC 렌탈 및 구독요금 매월 할인 받는 방법!,TLC 렌탈 및 구독,1만2천원 / 1만7천원
93,탄탄대로 Biz카드,일상에서 사업까지 탄탄한 혜택!,주유소(SK/GS),100~130점/L
94,Easy all 티타늄카드,"Get all, Choose all. Easy all~!",많이 쓴 영역에서,Auto 모드
95,Easy all카드,"Get all, Choose all. Easy all~!",많이 쓴 영역에서,Auto 모드
96,Easy pick 티타늄카드,주요 생활 영역부터 내가 Pick한 영역까지 모두 적립 Easy!,주요 생활 영역,5%
97,Easy pick카드,주요 생활 영역부터 내가 Pick한 영역까지 모두 적립 Easy!,주요 생활 영역,5%
98,Easy link 티타늄카드,"자동납부 등록하면, 혜택이 더블 Easy!",자동납부 캐시백,5천원~1만원
99,다담카드(비 OTP),"KB국민 훈민정음 두번째 이야기, 모두의 이야기를 담은 카드",교통/통신/해외,5~10%
100,골든라이프올림카드,더욱 든든해진 혜택으로 당신의 골든라이프를 응원합니다!,병원or마트,5%
101,탄탄대로 Miz&Mr 티타늄카드,Trendy 남녀를 위한 더 큰 혜택!,"미용,스포츠,골프",20%
102,국민행복카드,보육료 및 임신·출산 진료비 지원 등 국가바우처 지원 가능,쇼핑/교육/자동납부,5%
103,STARTLUCK 카드,운송사업자들을 위한 든든한 지원 혜택의 힘,영업용화물차,유가보조금
104,그린카드(전국형_서울제외),친환경 녹색실천과 에코머니포인트 적립의 기쁨을 누리는 착한 혜택의 힘,모든가맹점,0.5%
105,국방멤버쉽카드,직업 군인과 군무원 분들에게 꼭 필요한 세심한 혜택! KB국민 국방멤버쉽카드,군휴양시설/체력단련장,10%
106,스타트럭 플러스 현대오일뱅크카드,화물운전자를 위한 유가보조금 및 현대오일뱅크 주유할인 지원카드,영업용화물차,"월 683~4,308L"
107,KB국민 군인연금증 신용카드,대한민국 군과 함께 풍요로운 노후,5대 업종,0.8~2.4만원
108,스타트럭Ⅱ GS칼텍스카드,주유만해도 리터당 최대 80원 할인!,영업용화물차,"월 683~4,308L"
109,SK내트럭 유가보조금카드,화물운전자를 위한 유가보조금 및 SK주유할인 지원카드,영업용화물차,유가보조금
